"Site Crawled","https://veteranstransitionsupport.org/"
"Start Date","2026-05-14"
"Start Time","12:19:36"
"Last Modified Date","2026-05-14"
"Last Modified Time","12:21:21"
"Elapsed","00:01:44"
"Report Date","2026-05-14"
"Report Time","12:22:06"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Refresh","0","0.00%","92","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","435","Internal URLs with 2xx response"
""
"Hreflang"
"All","89","100.00%","89","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","89","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","89","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","89","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","89","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","89","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","89","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","89","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","89","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","89","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","89","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","89","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","89","Internal pages with 2xx response"
"Missing","0","0.00%","89","Internal pages with 2xx response"
"Outside <head>","0","0.00%","89","Internal pages with 2xx response"
""
"JavaScript"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","89","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","89","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","89","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","89","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","89","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","89","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","89","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","89","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","89","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","89","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","89","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","89","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","89","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","89","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","89","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","89","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","89","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","89","Internal HTML pages with 2xx response"
""
"Links"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","89","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","89","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","53","59.55%","89","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","89","100.00%","89","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","1","1.12%","89","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","89","100.00%","89","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","89","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","89","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","89","Internal HTML pages with 2xx response"
